title,url,offered_by,level,type,amount,eligibility,deadline,deadline_date,area,application_link,summary,scraped_at
20 thousand scholarships for Baloch GB and ex-Fata students,https://www.eduvision.edu.pk/scholarships/20-thousand-scholarships-for-baloch-gb-and-ex-fata-students-scholar-696,,"Bachelor, Intermediate, Matric, PhD",Merit & Need Based,,,"N.A “I have also visited Balochistan on the issue of scholarships where I met with the Governor of Balochistan, chief minister of Balochistan and also the Minister of education of Balochistan and the students who will be given 50 percent scholarship in the universities of Punjab will be given the remaining 50 percent scholarship by the government of Balochistan and these students will not have to pay any money. He said that out of private universities UMT will give 100 pc scholarships to 216 students annually and the University of Lahore will also give 100 pc scholarships to 216 students. Under the leadership of Dr. Amjad Saqib, the Akhuwat Foundation will give 100 pc scholarships to 400 students annually. He said Punjab University will also give 100pc scholarships to 100 students annually and give Rs 3,000 each per month. Other public universities, Friends of Lahore will give 100 pc scholarships to 3,200 students annually and 16,852 students will receive 50 percent scholarships. On the whole, almost 20,052 students will be given relief. Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,"Balochistan, FATA",,"Governor Punjab Chaudhary Muhammad Sarwar announced 20,000 scholarships for the students of Balochistan, Gilgit Baltistan, and ex-FATA. These scholarships will be awarded to the students enrolled in a four-year degree program in the universities of Punjab. Out of these, 3200 students will be given 100 percent scholarships while 16,852 students will be awarded a 50 percent scholarship in the universities of Punjab.",2025-10-04T14:05:37.995768+00:00
500 Scholarships by Pakistan Science Foundation STFS,https://www.eduvision.edu.pk/scholarships/500-scholarships-by-pakistan-science-foundation-stfs-scholar-169,,"Intermediate, Matric, PhD",Merit Based,,"Students who have passed the 10th class examination SSC/Matric in 2022 only from pure government-sector schools are eligible to apply. Students scoring a minimum of 60% overall marks and 70% marks in (4) Science subjects viz. Biology/Computer Sciences, Chemistry, Physics, and Mathematics. Attested copies of the Matric/SSC Result card, B-Form, and domicile certificate of the student or fathers domicile must be attached. Proof of the pure Government school must be provided. Private, semi-government or any other type of school is not eligible as per PC-I of STFS.","to apply for Science Talent Farming Scheme is December 23, 2022. The talented students passionate about Science education who wish to adopt a scientific career will be selected and trained/groomed to become future eminent scientists. 500 Scholarships by Pakistan Science Foundation STFS Overview Levels: Inter Fields: All Fields Type Local Category Merit Based Area All Pakistan Deadline 23-12-2022 Eligibility Criteria for Pakistan Science Foundation STFS Scholarship Students who have passed the 10th class examination SSC/Matric in 2022 only from pure government-sector schools are eligible to apply. Students scoring a minimum of 60% overall marks and 70% marks in (4) Science subjects viz. Biology/Computer Sciences, Chemistry, Physics, and Mathematics. Attested copies of the Matric/SSC Result card, B-Form, and domicile certificate of the student or fathers domicile must be attached. Proof of the pure Government school must be provided. Private, semi-government or any other type of school is not eligible as per PC-I of STFS. Pakistan Science Foundation Scholarship STFS Selection Criteria: Initial screening / shortlisting will be done on the basis of scores as per eligibility criteria. Science Aptitude Test (written test) Paper-based I.Q. Test. Interview/presentation on innovative ideas. Seats will be allocated as per the federal government quota system. 30 seats are reserved for toppers of the BISEs exams, for which nominations will be called separately from their relevant boards. Pakistan Science Foundation Scholarship Salient Facilities Monthly Scholarship @Rs. 15,000 per month for two years of F.Sc. Study visits to Science and Technology organizations, universities, and labs. Undertaking research projects during F.Sc under the mentorship of selected University Professors. Documents and other requirements for PSF Science Talent Farming Scheme Attested copy of result card of SSC or Matric to be attached Attested copy of CNIC/B-Form. Attested copy of Domicile (his/her own domicile is Mandatory, however father's domicile is acceptable only to allow for the test). Two recent color photographs (passport size). Original paid copy of deposit slip. vi. Application forms with Incomplete, Wrong/False information will be rejected How to apply for Science Foundation Scholarship STFS Interested Students should visit the NTS website: www.nts.org.pk to apply online. Fee Rs.500/- can only be paid via 1Link 1Bill Participating Banks/ATM/Internet. Banking/Mobile Banking/EasyPaisaklazzCash/TCS Express Counters by downloading fee challan deposit slip Send a copy of the filled online Application form along with attested copies of the Detailed Marks Sheet of SSC/Matric, own Domicile/ fathers domicile, and CNIC/B-Form to NTS Headquarters (Pakistan Science Foundation project), plot #96, Street # 04, Sector H-8/1, Islamabad. The last date for Submission of the application is 23rd December 2022. Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,All Pakistan,,"Pakistan Science Foundation an autonomous organization under the Ministry of Science and Technology invites applications for the selection of the 6th batch of 500 young students under the Development Project Science Talent Farming Scheme (STFS). The talented students passionate towards science education who wish to adopt a scientific career will be selected and trained/groomed to become future eminent scientists. Pakistan Science Foundation is not only offering PKR: 15,000/- month to the selected students.",2025-10-04T14:05:39.759133+00:00
75 National Top Talent Scholarships,https://www.eduvision.edu.pk/scholarships/75-national-top-talent-scholarships-scholar-13,,"Masters/MPhil, PhD",Merit Based,,Applicant must be a Pakistani/Azad Kashmir national Confirmed/unconditional admission/enrollment in any of the World’s 25 top-ranked universities (QS or THE) in the selected subjects Candidates must have a minimum qualification: For MS Scholarships: BS/BE/Master’s or equivalent to 16 years of education in relevant fields of education For PhD Scholarships: MS/MPhil/ME or equivalent 18 years education in relevant fields of study Maximum one 2nd Division throughout the academic career prior to the final degree 3.0 CGPA out of 4.0 & 3.75 out of 5 in the semester system or 1st Division (in the annual system) in terminal degree. Maximum Age on the closing date 40 years for full-time regular faculty members of the public sector universities/degree awarding institution/colleges and employees of the public sector organizations 35 years for all others,"to submit the application for National Top Talent Scholarship is March 21, 2023. 75 National Top Talent Scholarships Overview Levels: PhD Fields: All Fields Offered By: Higher Education Commission HEC : (Click here to view all scholarships by this authority) Type International Category Merit Based Area All Pakistan Deadline 21-03-2023 Eligibility Criteria for National Top Talent Scholarship Applicant must be a Pakistani/Azad Kashmir national Confirmed/unconditional admission/enrollment in any of the World’s 25 top-ranked universities (QS or THE) in the selected subjects Candidates must have a minimum qualification: For MS Scholarships: BS/BE/Master’s or equivalent to 16 years of education in relevant fields of education For PhD Scholarships: MS/MPhil/ME or equivalent 18 years education in relevant fields of study Maximum one 2nd Division throughout the academic career prior to the final degree 3.0 CGPA out of 4.0 & 3.75 out of 5 in the semester system or 1st Division (in the annual system) in terminal degree. Maximum Age on the closing date 40 years for full-time regular faculty members of the public sector universities/degree awarding institution/colleges and employees of the public sector organizations 35 years for all others How to Apply for National Top Talent Scholarship Applicants are required to submit the applications online on the HEC e-portal i.e. https://eportal.hec.gov.pk Candidates have to secure admissions in the world's top 25 ranked universities.​​ Candidates have​ to return to Pakistan immediately after the completion of their studies. Successful candidates have to sign an agreement with HEC to serve for a period of 3 years for MS and 5 years of Ph.D. in Pakistan after completion of their studies. ​Top 25 THE Ranking Universities 2022 Sr. No Name Country THE Rank 1 University of Oxford United Kingdom 1​ 2 California Institute of Technology (Caltech) United States 2 3 Harvard University United States 2 4 Stanford University United States 4 5 University of Cambridge United Kingdom 5​ 6 Massachusetts Institute of Technology (MIT)​ United States 5 7 Princeton University United States 7 8 University of California, Berkeley United States 8 9 Yale University United States 9​ 10 The University of Chicago United States 10 11 Columbia University United States 11 12 Imperial College London United Kingdom 12 13 Johns Hopkins University United States 13 14 University of Pennsylvania United States 13 15 Eidgenössische Technische Hochschule (ETH) Zurich Switzerland 15​ 16 Peking University China 16 17 Tsinghua University China 16 18 University of Toronto Canada 18 19 University College London (UCL) United Kingdom 18 20 University of California, Los Angeles United States 20 21 National University of Singapore Singapore 21 22 Cornell University United States 22 23 Duke University United States 23 24 University of Michigan-Ann Arbor United States 24 25 Northwestern University United States 24 Top 25 QS Ranking Universities 2023: Sr. No University Name Address QSRanking 1 Massachusetts Institute of Technology (MIT​) United States 1 2 University of Cambridge United Kingdom 2 3 Stanford University United States 3 4 University of Oxford United Kingdom 4 5 HarvardUniversity United States 5 6 California Institute of Technology (Caltech) United States 6 7 Imperial College London United Kingdom 7 8 University College London United Kingdom 8 9 ETH (Eidgenössische Technische Hochschule) Zurich Switzerland 9 10 The University of Chicago United States 10​ 11 National University of Singapore (NUS) Singapore 11 12 Peking University China 12 13 University of Pennsylvania United States 13 14 Tsinghua University China 14​​​ 15 The University of Edinburgh United Kingdom 15 16 École polytechnique fédérale de Lausanne (EPFL) Switzerland 16 17 Princeton University United States 16 18 Yale University United States 18 19 Nanyang Technological University Singapore 19 20 Cornell University United States 20 21 The University of Hong Kong Hong Kong 21 22 Columbia University United States 22 23 The University of Tokyo Japan 23 24 Johns Hopkins University United States 24 25 University of Michigan-Ann Arbor United States 25​ Latest Scholarships Fulbright Scholar Program HEC US Pakistan Knowledge Corridor Fully funded PhD Scholarship HEC Cuban Government MBBS Scholarships SBW Berlin Scholarship for International Students SBW Berlin Scholarship for International Students MEXT Japan Teachers Training Scholarships Turkiye Burslari Scholarships BEEF Local and Foreign scholarships for LLM and PhD in Law",,All Pakistan,,"On the auspicious occasion of the National Celebrations of the 75th Independence Anniversary of Pakistan, the Government of Pakistan announces 40 Ph.D. and 35 MS scholarships for Pakistani and Azad Kashmir nationals to study in the world's 25 top-ranked universities (QOS or Times Higher Education (THE) Rankings only). The scholarships will be awarded on the provision of proof of confirmed admission to desired universities and selected subjects only.",2025-10-04T14:05:41.671152+00:00
Abbottabad Public School APS Endowment Fund Scholarship,https://www.eduvision.edu.pk/scholarships/abbottabad-public-school-aps-endowment-fund-scholarship-scholar-716,,"Intermediate, Matric, PhD",Merit & Need Based,,"Age: between 11 and 13 years Must be studying in Government schools of Kyber Pakhtunkhwa for the last two years Maximum Monthly Family income: PKR: 30,000/- Candidates studying in cadet colleges, schools in other provinces, or studying in schools run by the federal government are not eligible to apply.  Application forms are available online at www.aps.edu.pk/downloads application forms may also be obtained from the office of Abbottabad Public School Abbottabad.","15-02-2021 Abbottabad Public School Scholarship test format Test type: Objective Duration: 2 Hours Syllabus: KP Textbook Board class 6 textbooks Subjects: Mathematics, Urdu, English, and Islamiyat Test start time: 10:00 AM Eligibility Criteria for APS Endowment Fund Scholarship Age: between 11 and 13 years Must be studying in Government schools of Kyber Pakhtunkhwa for the last two years Maximum Monthly Family income: PKR: 30,000/- Candidates studying in cadet colleges, schools in other provinces, or studying in schools run by the federal government are not eligible to apply. Application forms are available online at www.aps.edu.pk/downloads application forms may also be obtained from the office of Abbottabad Public School Abbottabad. Documents required with the application form Bank Draft/Money order of PKR: 1500/- 4 attested photographs Copy of CNIC of father Attested copies of admission and school leaving entries in school register (AWR) Attested copy of Form-B Attested copy of the proof of father's monthly income Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,Khyber Pukhtonkhwa,,Abbottabad Public School APS announces Endowment Fund Scholarships for KPK domicile holders for admission in class 7. This scholarship program is for boys only. Abbottabad public school will bear the academic expenses of the students selected on merit.,2025-10-04T14:05:43.403329+00:00
ADB Japan Scholarship Program (ADB-JSP),https://www.eduvision.edu.pk/scholarships/adb-japan-scholarship-program-adb-jsp-scholar-740,,"Bachelor, Masters/MPhil, PhD",Merit Based,,"To qualify for the ADB-JSP, candidates must meet the following criteria:  Must be a national of an ADB borrowing member country and eligible for the Japanese ODA scholarship. Should not hold dual nationality. Must have secured admission to an approved master's program at a Designated Institution. Hold a bachelor's degree (or equivalent) with an excellent academic record. Have at least 2 years of full-time professional work experience post-degree. Proficiency in English (oral and written) is required. Must be under 35 years old at the time of application (exceptions may apply with Japan's approval). should be in good health. Commit to returning to the home country and working for at least 2 years post-graduation. Cannot be an ADB staff, consultants, or their close relatives. Cannot work or reside outside their home country. Must not be currently enrolled in a graduate degree program.","N.A Upon completion of their study programs, scholars are expected to contribute to the economic and social development of their home countries. ADP Japan Scholarship offers The ADB-JSP offers a fully funded scholarship package that includes: Full tuition fees Monthly allowance Books and instructional materials Medical insurance Travel expenses Major Fields of Study The ADB-JSP supports a wide range of fields: 1. Science and Technology: Agriculture, Biological Science, Computer Science, Energy, Engineering, Environment, Forestry, Genetics, Health 2. Economics, Business, and Management: Accounting, Business Administration/Management, Commerce, E-Business, Entrepreneurship, Economics, Finance, International Cooperation, Social Sciences 3. Development Studies: Asia Pacific Studies, Development Management, Development Studies 4. Law and Public Policy: International Business Law, International Environmental Law, Policy Studies, Political Science, Public Administration, Public Policy, , ADB Japan Eligibility Criteria To qualify for the ADB-JSP, candidates must meet the following criteria: Must be a national of an ADB borrowing member country and eligible for the Japanese ODA scholarship. Should not hold dual nationality. Must have secured admission to an approved master's program at a Designated Institution. Hold a bachelor's degree (or equivalent) with an excellent academic record. Have at least 2 years of full-time professional work experience post-degree. Proficiency in English (oral and written) is required. Must be under 35 years old at the time of application (exceptions may apply with Japan's approval). should be in good health. Commit to returning to the home country and working for at least 2 years post-graduation. Cannot be an ADB staff, consultants, or their close relatives. Cannot work or reside outside their home country. Must not be currently enrolled in a graduate degree program. Application Process To apply for the ADB-JSP, follow these steps. Request Information and Application Forms: Contact the chosen partner institution to request detailed information about the scholarship and obtain the necessary application forms. Complete the Documentation: Carefully fill out all required documents, including the ADB-JSP information sheet, ensuring that all sections are completed accurately. Submit Application: Once the forms are complete, submit them to the partner institution within the designated timeframe, along with any supporting documents as required by the institution. Application Evaluation by Institution: The partner institution will review and evaluate all applications based on their admission criteria, considering academic qualifications, professional experience, and other relevant factors. Shortlist Submission to ADB: After the evaluation process, the institution will compile a shortlist of eligible candidates and forward it to ADB for further review. ADB Reviews Submissions: ADB carefully reviews the shortlisted candidates submitted by the institution to ensure they meet the eligibility requirements of the scholarship. Recommendation to Japanese Executive Director: ADB will then recommend potential awardees to the Japanese Executive Director for final approval of the scholarship awards. Selection of Scholars: After receiving approval, ADB officially selects the scholars and informs the partner institution of the successful candidates. · Notification to Selected Scholars: The partner institution will communicate the final decision to all selected scholars, informing them of their scholarship award and further steps to take. Apply online Latest Scholarships Fulbright Scholar Program HEC US Pakistan Knowledge Corridor Fully funded PhD Scholarship HEC Cuban Government MBBS Scholarships SBW Berlin Scholarship for International Students SBW Berlin Scholarship for International Students MEXT Japan Teachers Training Scholarships Turkiye Burslari Scholarships BEEF Local and Foreign scholarships for LLM and PhD in Law",,All Pakistan,https://www.adb.org/work-with-us/careers/japan-scholarship-program,"The ADB–Japan Scholarship Program (ADB–JSP) offers fully funded scholarships to 250 students annually at academic institutions in the USA, Hong Kong, China, Japan, the Philippines, Singapore, Thailand, and India. Students pursuing academic degrees in economics, business, management,  science, technology, and other development-related fields can apply for the ADB Japan Scholarship program. ADB Japan Scholarship Program (ADB-JSP) Overview Levels: Masters, PhD Fields: All Fields Offered By: Higher Education Commission HEC : (Click here to view all scholarships by this authority) Type International Category Merit Based Area All Pakistan Deadline N.A Upon completion of their study programs, scholars are expected to contribute to the economic and social development of their home countries.",2025-10-04T14:05:45.785995+00:00
Aga Khan University AKU Challenging Scholarship Programme 2017,https://www.eduvision.edu.pk/scholarships/aga-khan-university-aku-challenging-scholarship-programme-2017-scholar-206,,"Bachelor, Intermediate, Matric, PhD",Merit & Need Based,,"The challenge scholarship programs 2017 is for all the interested eligible students must be under study in the national / provincial system of the education in Pakistan or the Aga Khan University.  Aga Khan University AKU Challenging Scholarship Programme 2017 Overview Levels: Bachelor Fields: All Fields Offered By: University : (Click here to view all scholarships by this authority) Type Local Category Merit & Need Based Area All Pakistan Deadline N.A        Students must have the matric / secondary school certificate (SSC) annual exam degree with minimum 80% marks. Those students are eligible for challenging scholarship program by the Aga Khan University who will be finalizing the intermediate / higher secondary school certificate (HSSC) FSc (Pre-Medical) with science subject’s biology, chemistry and physics annual exams in 2018.","N.A Students must have the matric / secondary school certificate (SSC) annual exam degree with minimum 80% marks. Those students are eligible for challenging scholarship program by the Aga Khan University who will be finalizing the intermediate / higher secondary school certificate (HSSC) FSc (Pre-Medical) with science subject’s biology, chemistry and physics annual exams in 2018. Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,All Pakistan,,Introduction: The Agha Khan University AKU Challenging Scholarship Program 2017 is very great career opportunity for the eligible interested students. Those students are eligible for challenge scholarship program who will be hold residential status. No tuition fee will be charged by the eligible students.,2025-10-04T14:05:47.536253+00:00
AIOU announces Scholarship for Needy Students,https://www.eduvision.edu.pk/scholarships/aiou-announces-scholarship-for-needy-students-scholar-411,,"Intermediate, Matric, PhD",Merit & Need Based,,"AIOU Continuing Students. Enrolled in 2nd Semester onwards. Annual income is less than Rs. 400,000/-. The student will produce an income certificate showing annual income as per Performa designed and attached.","05-02-2023 New students can apply for financial aid online till February 8. Students will be able to get the challan form till February 05, while after the discount on fees, they will be able to pay the remaining fees till February 14. Students are required to enclose the original admission form along with the application. The application form must be completed in all respect. The AIOU Scholarship form can be downloaded from the AIOU website here https://aiou.edu.pk/assf/SSF_101/Application%20Form%20%20SSF-101%20(pdf).pdf AIOU Scholarship Eligibility Criteria AIOU Continuing Students. Enrolled in 2nd Semester onwards. Annual income is less than Rs. 400,000/-. The student will produce an income certificate showing annual income as per Performa designed and attached. Documents Required for AIOU Scholarship Please attach attested copies of the following documents with the application: National Identity Card and “B” form (Self & of parent /guardian). Income certificates of self and parent/guardian attested by a Gazetted officer or the local councilor. After fee concession, deposit the remaining amount if asked by the respective Regional Director/Representative through Bank Challan in the ALLIED BANK LTD. of your city. (Bank draft shall not be accepted.) Attach the original Bank Challan, original admission form/continuing form, and above-mentioned documents along with this application form and submit to your concerned REGIONAL OFFICE before the due date. Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,All Pakistan,https://aiou.edu.pk/assf/SSF_101/Application%20Form%20%20SSF-101%20(pdf).pdf,"Allama Iqbal Open University (AIOU) Islamabad offers scholarships to needy students and free education to the students of the selected underprivileged areas. AIOU has invited applications for providing admission fee concessions to poor and deserving students enrolled in the spring semester of 2023. Besides this, AIOU also provided free matriculation education to the students of Gilgit-Baltistan, Balochistan, and former Fata.",2025-10-04T14:05:54.269886+00:00
AIOU fully funded PhD Scholarship for UK,https://www.eduvision.edu.pk/scholarships/aiou-fully-funded-phd-scholarship-for-uk-scholar-454,,"Masters/MPhil, PhD",Merit Based,,"Pakistani / AJK National having MS/M.Phil degree with a minimum of 3.00/4.00 CGPA / 70% (Semester System) or 60% marks in the Annual system. Maximum of two-second divisions and no third division in the entire academic career. Age: 30 years Maximum, as of the closing date. Must have obtained MS/M.Phil Degree on or before the closing date. A candidate availing of any other scholarship is not eligible to apply. The applicant must fulfill the admission requirements of the University of Leicester in the relevant priority areas.","to apply for AIOU Fully funded Ph.D. UK Scholarships is September 12, 2022. Out of these 38, 12 seats are reserved for faculty of education, 10 seats for Arabic and Islamic Studies, 10 for Faculty of Social Sciences and Humanities, and 06 for Faculty of Sciences. AIOU fully funded PhD Scholarship for UK Overview Levels: PhD Fields: Engineering & IT, Natural Sciences, Social Sciences Offered By: University : (Click here to view all scholarships by this authority) Type International Category Merit Based Area All Pakistan Deadline 12-09-2022 Faculty of Education Maximum No. of Seats = 12 Educational Leadership, Inclusive Education, Mathematics Education, STEM Education, Instructional Design, Lifelong Learning Faculty of Arabic & Islamic Studies Maximum No. of Seats = 10 Islamic Thought, History & Culture, Seerat Studies, Interfaith Studies. Islamic Economics Faculty of Social Sciences & Humanities Maximum No. of Seats = 10 International Trade, Clinical/Applied Psychology, Criminology, Public Policy, Entrepreneurship, Tourism & Hospitality Management, Supply Chain Management, Accountancy, Economics Faculty of Sciences Maximum No. of Seats = 06 Artificial Intelligence & Machine Learning, Internet of Things/Cyber Security, Smart Cities, Data Science & Data Analytics, Bio-Statistics, Mathematics, Environmental Design, Renewable Energy, Hydrogen Energy Eligibility Criteria for AIOU Ph.D. Scholarship for the UK Pakistani / AJK National having MS/M.Phil degree with a minimum of 3.00/4.00 CGPA / 70% (Semester System) or 60% marks in the Annual system. Maximum of two-second divisions and no third division in the entire academic career. Age: 30 years Maximum, as of the closing date. Must have obtained MS/M.Phil Degree on or before the closing date. A candidate availing of any other scholarship is not eligible to apply. The applicant must fulfill the admission requirements of the University of Leicester in the relevant priority areas. AIOU Scholarship Shortlisting Criteria Description Maximum Score Weightage Academic Qualification (as per Academic Evaluation 100 35% Formula) one General As per (Qualifying Score 60%) standard 359, Research Proposal (Qualifying Marks 60%l 50 10% Panel Interview (Qualifying Marks 60%) 60 20% (For details please visit AIOU website www.aiou.edu.pk) Before applying, candidates are required to understand the complete Road Map of PDP available on the AIOU website (www.aiou.edu.pk) Applicants are required to apply online, through AIOU Job Portal on www.aiou.edu.pk, and no documents in the hard form are required at this stage. Applicants are required to ensure that they have valid GRE/HAT (General) result which is to be submitted along with Research Proposal and other documents, once required by University. Applicants must provide valid phone No. & postal address, to avoid defy in correspondence. These scholarships are intended/meant for those fresh candidates who have completed MS/MPhil degrees and are aspiring for a foreign Ph.D. degree. However, applicants who are working on a regular or contract basis in Government/Semi-Government and Autonomous Bodies shall submit resign from the previous job, through proper channel application shall not be accepted. vi. Information claimed in the online application form will be treated as final, subsequent claims, earlier not given in the online application form, are considered afterthoughts and an attempt to become eligible. Such subsequent claims shall not be accepted. xi. The AIOU reserves the right to increase/decrease the number of seats, or to reallocate the slots to different faculties as per requirements. viii. Application processing fee @ Rs. 2000- be deposited through Fee Challan generated through AIOU web portal. Latest Scholarships Fulbright Scholar Program HEC US Pakistan Knowledge Corridor Fully funded PhD Scholarship HEC Cuban Government MBBS Scholarships SBW Berlin Scholarship for International Students SBW Berlin Scholarship for International Students MEXT Japan Teachers Training Scholarships Turkiye Burslari Scholarships BEEF Local and Foreign scholarships for LLM and PhD in Law",,All Pakistan,,Allama Iqbal Open University (AIOU) Islamabad offers 38 fully-funded Ph.D. Scholarships for Leicester University UK. Applications are invited from Pakistani / AJK nationals having MS/MPhil degree in the relevant discipline under AIOU Professional Development Program (PDP).,2025-10-04T14:05:57.025467+00:00
AJK and Kashmir Refugees Scholarship Kana,https://www.eduvision.edu.pk/scholarships/ajk-and-kashmir-refugees-scholarship-kana-scholar-199,,"Bachelor, Intermediate, Masters/MPhil, Matric, PhD",Merit & Need Based,,"MBA MPA M.Com M.Sc(Computer Science) M.Sc (Stat, Math, Eco, Phy, Chem, etc) M.Sc (Hon. Agri) MBBS BDS DVM B.Sc (Engg/B-Tech) B.Sc(Hon. Agri) B.Sc(Geology) B.Com BCS Polytechnic LLB Pharmacy","31-12-2023 Eligible fields for KANA Scholarship for Kashmiri Students MBA MPA M.Com M.Sc(Computer Science) M.Sc (Stat, Math, Eco, Phy, Chem, etc) M.Sc (Hon. Agri) MBBS BDS DVM B.Sc (Engg/B-Tech) B.Sc(Hon. Agri) B.Sc(Geology) B.Com BCS Polytechnic LLB Pharmacy How to apply for the KANA Kashmir Scholarship Attested copies of the applicant's State Subject Certificate/Domicile/Marks Sheets, NCC Certificate, etc. must be attached with the application form. Only those applicants would be eligible for a grant of stipend who have obtained at least 50% marks in the last examination. Incomplete applications and applications received after the due date or carrying any misstatement will be rejected. Moreover, tampering with any entry in the application form/certificates shall render the applicant ineligible for a grant of stipends. Certificates i.e. mark sheets and domicile will be got verified by the concerned authorities. Action will be initiated against those who are found involved in forgery. Students who are getting stipends from other sources are not eligible. Applications for the course of study other than those mentioned above shall not be entertained. Those who have already been granted stipends during the previous years need not apply again. Their stipends will be renewed on receipt of their progress/promotion reports from their respective institutions. Applications received before the publication of this advertisement would not be entertained. Application on prescribed Form which is also available on KA&GB Division's website i.e. www.kana.gov.pk complete in all respect must reach the undersigned by 31.12.2023 through registered post. SECTION OFFICER (K-II) Government of Pakistan, Ministry of KA&GB Room No.134, ""R"" Block, Pak Secretariat, Islamabad Ph: 051-9209178 Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,AJK,,"Ministry of Kashmir Affairs and Gilgit Baltistan announces educational stipend for Azad Kashmir, Jammu, and Kashmir refugee students. Applications for the award of fresh stipends on prescribed Forms are invited from the A.K. National/J&K Refugee students, who have been nominated by this Ministry, Secretary, Nomination Board, AJ&K or obtained admission on a general merit basis for the calendar year 2022 in recognized institutions of Pakistan and AJ&K.",2025-10-04T14:05:59.492666+00:00
AJK Employee Welfare Fund Scholarship,https://www.eduvision.edu.pk/scholarships/ajk-employee-welfare-fund-scholarship-scholar-648,,"Intermediate, Masters/MPhil, Matric, PhD",Merit & Need Based,,"Employees can apply for a scholarship for 03 children who have obtained a minimum of 60% marks in class 5 or higher exams including technical and religious education and are enrolled in higher classes. Students studying in professional courses may apply with 50% marks, provided they have scored a minimum of 60% in Matric/FSc.  AJK Employee Welfare Fund Scholarship Overview Levels: All Levels Fields: All Fields Type Local Category Merit & Need Based Area AJK Deadline 25-03-2025","25-03-2025 How to apply for the AJK Employees Welfare Scholarship Employees can submit the scholarship on the prescribed application form attested by the head of the institute through the head of their respective departments. Application forms can be submitted to the address given in the advertisement. Documents required with the application form Copy of the CNIC/B-Form of the student Copy of the CNIC of Parent/Guardian December 2020 Computerized Salary slip of in-service employees Copy of the result card issued by the respective Board/University. Result cards downloaded from the internet will not be acceptable. The last date to apply for the scholarship is March 25, 2025 Latest Scholarships HEC Scholarships for Balochistan and Erstwhile Fata PEEF Special Quota Inter and BS Scholarships MORA Scholarship for Minority Students Punjab Honhaar Scholarship for BS Students Riphah International University Offering Upto 100 percent Scholarships for Students from Flood-Affected Areas Scholarships and Financial Assistance at Iqra University – Your Gateway to Affordable Excellence Benevolent Fund KP Merit Scholarship HRMA Announces Minorities Scholarship for Matric to PhD",,AJK,,"AJK Employee Welfare Fund and Group Insurance Trust offer full scholarships to the children of Government, semi-government, and autonomous organizations employees. The scholarship will be offered to the children of in-service employees, retired, and deceased persons studying in class 6 or higher. AJK Employees' welfare scholarship applications can be submitted by March 25, 2025.",2025-10-04T14:06:01.848374+00:00
